state,taxi_row,taxi_col,pass_loc,dest_idx,action,reward,done
191,3,4,0,1,3,-1,False
181,3,3,0,1,0,-1,False
231,4,3,0,1,1,-1,False
181,3,3,0,1,1,-1,False
131,2,3,0,1,3,-1,False
121,2,2,0,1,3,-1,False
111,2,1,0,1,3,-1,False
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
181,3,3,0,1,1,-1,False
131,2,3,0,1,3,-1,False
121,2,2,0,1,3,-1,False
111,2,1,0,1,3,-1,False
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
111,2,1,0,1,3,-1,False
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
141,2,4,0,1,3,-1,False
131,2,3,0,1,3,-1,False
121,2,2,0,1,3,-1,False
111,2,1,0,1,3,-1,False
101,2,0,0,1,3,-1,False
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,2,-1,False
65,1,1,2,1,0,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
161,3,1,0,1,1,-1,False
111,2,1,0,1,3,-1,False
101,2,0,0,1,3,-1,False
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
21,0,2,0,1,0,-1,False
71,1,2,0,1,0,-1,False
121,2,2,0,1,1,-1,False
71,1,2,0,1,3,-1,False
71,1,2,0,1,3,-1,False
71,1,2,0,1,0,-1,False
121,2,2,0,1,3,-1,False
111,2,1,0,1,3,-1,False
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
231,4,3,0,1,1,-1,False
181,3,3,0,1,1,-1,False
131,2,3,0,1,3,-1,False
121,2,2,0,1,3,-1,False
111,2,1,0,1,3,-1,False
101,2,0,0,1,1,-1,False
51,1,0,0,1,1,-1,False
1,0,0,0,1,4,-1,False
5,0,0,2,1,0,-1,False
55,1,0,2,1,0,-1,False
105,2,0,2,1,2,-1,False
115,2,1,2,1,2,-1,False
125,2,2,2,1,2,-1,False
135,2,3,2,1,2,-1,False
145,2,4,2,1,2,-1,False
145,2,4,2,1,1,-1,False
95,1,4,2,1,1,-1,False
45,0,4,2,1,5,20,True
201,4,0,0,1,0,-1,False
201,4,0,0,1,0,-1,False
201,4,0,0,1,0,-1,False
201,4,0,0,1,0,-1,False
